screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
03A,02,Enviando codigo,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_02_ENVIANDO_CODIGO_APROBADA_FINAL.png,9e04e16a5b20219776de575c69baf512d1cc3d34ef253b240e014eac05dd6dc8
03A,03,Codigo WhatsApp enviado,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_03_CODIGO_WHATSAPP_ENVIADO_APROBADA_FINAL.png,23c0346f70ec64e3977fcd34d1bd0cc67a68a2b99a61ffb80006f0b6354377eb
03A,04,OTP completo,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_04_OTP_COMPLETO_APROBADA_FINAL.png,51943f46180f484632f62937ad0a9e65bdc713eb5c3a4bdf4dbaf7109b447304
03A,05,Verificando OTP,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_05_VERIFICANDO_OTP_APROBADA_FINAL.png,7be2640b4ac7e479efffe7b6e5486ad7f3f658adfec81980537f516427cd95ec
03A,06,Codigo incorrecto,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_06_CODIGO_INCORRECTO_APROBADA_FINAL.png,14c10c33072ec56c58d402458820b41d786c24863dbee4cfe86d1415389895c7
03A,07,Codigo invalidado tercer intento,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_07_CODIGO_INVALIDADO_TERCER_INTENTO_APROBADA_FINAL.png,2177f462628b9f5975cabfa86fb3fd4a614c69a6f9d45ab6d3cf3576d86c15d3
03A,08,Reenvio WhatsApp realizado,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_08_REENVIO_WHATSAPP_REALIZADO_APROBADA_FINAL.png,50f8980f3d21e34268c2ca90e154defc4c73df995a1242b5972047f071709ff2
03A,09,Codigo WhatsApp vencido,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_09_CODIGO_WHATSAPP_VENCIDO_APROBADA_FINAL.png,7a206bdc1282f458036d1c00b3b09d94466a93ac6882278c594765604bedf05d
03A,10,SMS disponible,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_10_SMS_DISPONIBLE_APROBADA_FINAL.png,a3cca303158c7f52dbd6d4cabee57e7fec5101c590f29b9edf3b2135a9ccc5fd
03A,11,Codigo SMS enviado,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_11_CODIGO_SMS_ENVIADO_APROBADA_FINAL.png,5833046c7ea7c5617c9dc2b84e03473831aafca1fb4a4a819de3cce659c26b6d
03A,12,Bloqueo temporal,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_12_BLOQUEO_TEMPORAL_APROBADA_FINAL.png,515dab808340c41e651db40dbe2991bd14c61e8691a383c19684bc2b8b789f4f
03A,13,Error tecnico envio,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_13_ERROR_TECNICO_ENVIO_APROBADA_FINAL.png,4895058b0ee99f7427bb75e03ab37ed5942ee0a6fe6a6ef4b55f8548ef91acbd
03A,14,Numero sin WhatsApp,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_14_NUMERO_SIN_WHATSAPP_APROBADA_FINAL.png,644b8a8a76b012c6ae687ac2d7d2d035b01a9d14042142b824c35520133e8e08
